,SDSS_NAME,RA,DEC,PLATE,MJD,FIBERID,AUTOCLASS_PQN,Z,BAL_PROB,BI_CIV,AI_CIV
1917,132229.36+353617.1,200.62234010809897,35.60476098949342,8875,57779,335,QSO,1.8327436447143555,0.0,0.0,0.0
1918,002004.43+011416.3,5.018471506781225,1.2378768054302174,4219,55480,662,QSO,2.938,0.0,0.0,0.0
1919,113756.83+145233.1,174.48682845218354,14.875872421993353,5378,56011,464,QSO,2.428,0.0,0.0,0.0
1920,111637.91+305135.1,169.1579888723795,30.85976503248936,6438,56367,456,QSO,2.277,0.0,0.0,0.0
1921,223330.31+000504.8,338.37630674994597,0.08467450003978311,9149,58039,717,QSO,1.5716058015823364,0.0,0.0,0.0
1922,130518.17+501130.7,196.32571155542968,50.19187829280943,7410,57104,749,QSO,2.558166027069092,0.0,0.0,0.0
1923,090819.19+524451.1,137.07999567866096,52.74754236273688,7295,57067,840,QSO,2.114272356033325,0.0,0.0,0.0
1924,165756.99+430135.9,254.48748170719304,43.02666248697535,8533,58017,950,QSO,2.4532973766326904,0.0,0.0,0.0
1925,014828.55+104649.9,27.118992216232755,10.780549959017183,11053,58437,246,QSO,1.587241768836975,0.0,0.0,0.0
1926,230540.51+013539.5,346.4188092409068,1.5943177094951992,9173,58069,774,QSO,2.068119764328003,0.0,0.0,0.0
1927,095356.28+554030.0,148.48453941650138,55.67501914332067,5743,56011,776,QSO,2.99,0.0,0.0,0.0
1928,014142.66+051236.9,25.427783882141057,5.210264179899111,8755,58138,174,QSO,1.8368700742721558,0.0,0.0,0.0
1929,103723.01+273436.7,159.34589492639714,27.57687568662187,11353,58467,211,QSO,1.797234058380127,0.0,0.0,0.0
1930,141820.29+004226.2,214.58454687166642,0.7072813866174218,4031,55604,656,QSO,3.178,0.0,0.0,0.0
1931,133000.83+562716.2,202.5034614714723,56.45451105312639,8201,58146,41,QSO,2.0343735218048096,0.0,0.0,0.0
1932,234916.15+011253.5,357.31729219042546,1.2148668166691552,4214,55451,910,QSO,2.335,0.0,0.0,0.0
1933,080841.43+395021.8,122.17265192683678,39.839411609747174,9360,58055,938,QSO,1.9225060939788818,0.0,0.0,0.0
1934,171905.36+364816.4,259.77233993269016,36.80457669360307,4990,55743,362,QSO,2.694,0.0,0.0,0.0
1935,222032.24-013656.3,335.1343573403739,-1.6156553334165553,9147,58038,133,QSO,1.7603065967559814,0.0,0.0,0.0
1936,224932.84+242412.4,342.38683821747134,24.403451731717304,7657,57309,186,QSO,1.875106930732727,0.0,0.0,0.0
1937,021425.69-003859.7,33.607049690568225,-0.6499285097760198,9317,58070,641,QSO,1.7212975025177002,0.0,0.0,0.0
1938,153855.40+595419.4,234.73084735355505,59.905389619647316,8426,58224,848,QSO,1.7188876867294312,0.0,0.0,0.0
1939,214541.25+050256.5,326.421908292289,5.049040012778633,4091,55498,389,QSO,2.165,0.0,0.0,0.0
1940,111715.14+553246.8,169.3130848464535,55.546346318475806,8177,57374,162,QSO,1.9747196435928345,0.0,0.0,0.0
1941,121653.08+351256.9,184.22120440139378,35.21582507873224,4613,55591,222,QSO,2.552,0.0,0.0,0.0
1942,233337.66-011144.0,353.4069413142201,-1.1955675236339145,4212,55447,284,QSO,2.917,0.0,0.0,0.0
1943,144907.79+412425.1,222.28246522837975,41.406988483490764,8493,58162,448,QSO,1.770951747894287,0.0,0.0,0.0
1944,074256.73+202821.4,115.73638205622373,20.4726294659703,11082,58508,700,QSO,1.9756981134414673,0.0,0.0,0.0
1945,013514.17+235831.6,23.809053047466932,23.975448837683615,7687,57007,740,QSO,1.9704073667526245,0.0,0.0,0.0
1946,160330.82+300249.4,240.87845289588756,30.047062556464244,5009,55707,530,QSO,2.526,0.0,0.0,0.0
1947,141702.71+560131.0,214.26129743182105,56.025280472777744,8427,57846,76,QSO,1.57147216796875,0.0,0.0,0.0
1948,151545.14+103654.0,228.93810464488016,10.61502313841113,5489,55990,392,QSO,3.219,0.0,0.0,0.0
1949,021535.95-021739.1,33.899806400656615,-2.2941985102578255,7835,56986,313,QSO,1.8547502756118774,0.0,0.0,0.0
1950,234811.37-004937.7,357.0473997352929,-0.827150747328842,7851,56932,544,QSO,1.8974045515060425,0.0,0.0,0.0
1951,101635.13+324735.3,154.14638325261097,32.7931471381473,6454,56336,362,QSO,3.147,0.0,0.0,0.0
1952,013721.89+165130.1,24.34123471354451,16.858362196979773,5130,55835,544,QSO,2.206,0.0,0.0,0.0
1953,135732.97+095155.7,209.38737996520953,9.865476048174415,5445,55987,132,QSO,1.72,0.0,0.0,0.0
1954,131320.12+530123.5,198.3338563129863,53.023201351328765,6758,56415,495,VI,3.67,0.0,0.0,0.0
1955,083133.22+512307.8,127.88844197492867,51.38550117321413,7302,57012,373,QSO,1.946278691291809,0.0,0.0,0.0
